a	ā,ə, yek
digests	verb, hezmkirin
digging	verb, kort
dignities	ˈdignitē, rûmet
dignity	ˈdignitē, rûmet
digs	verb, kort
dilemma	diˈlemə, dûdilî
dilemmas	noun, dûdilî
diligence	ˈdiləjəns, jîrî
diligent	ˈdiləjənt, jîr
dilute	diˈlo͞ot,dī-, tenikkirin
diluted	verb, tenikkirin
dilutes	diˈlo͞ot,dī-, tenikkirin
diluting	verb, tenikkirin
dimension	diˈmenCHən, ebat
dine	dīn, nanxwarin
dined	dīn, nanxwarin
dines	dīn, nanxwarin
dining	verb, nanxwarin
dining room	, jura nanxwarinê
dinner	ˈdinər, firavîn
dinners	ˈdinər, firavîn
dinosaur	ˈdīnəˌsôr, dînazor
dinosaurs	noun, dînazor
dip	dip, pêdeçûn
diploma	diˈplōmə, şehade
diplomas	noun, şehade
diplomat	ˈdipləˌmat, dîplomat
diplomats	noun, dîplomat
dipped	verb, pêdeçûn
dipping	verb, pêdeçûn
dips	verb, pêdeçûn
direct	diˈrekt,dī-, birevebirin
directed	verb, birevebirin
directing	verb, birevebirin
direction	diˈrekSHən,dī-, ber
directions	noun, tarîfa bikaranînê
director	diˈrektər, serek
directories	diˈrektərē, pirtûka navnîşan
directory	diˈrektərē, pirtûka navnîşan
directs	diˈrekt,dī-, birevebirin
dirt	dərt, gemmar
dirtier	ˈdərtē, qirêjî
dirtiest	ˈdərtē, qirêjî
dirty	ˈdərtē, qirêjî
disabilities	noun, karnezanî
disability	ˌdisəˈbilitē, karnezanî
disabled	disˈābəld, bêmecel
disadvantage	ˌdisədˈvantij, lidijî
disadvantages	noun, lidijî
disagree	ˌdisəˈgrē, lihevderneketin
disagreed	verb, lihevderneketin
disagreeing	verb, lihevderneketin
disagreement	ˌdisəˈgrēmənt, nerrîngûherrîç nerrînferqî
disagreements	ˌdisəˈgrēmənt, nerrîngûherrîç nerrînferqî
disagrees	ˌdisəˈgrē, lihevderneketin
disappear	ˌdisəˈpi(ə)r, wendabûn
disappearance	ˌdisəˈpi(ə)rəns, wendayî
disappearances	ˌdisəˈpi(ə)rəns, wendayî
disappeared	verb, wendabûn
disappearing	verb, wendabûn
disappears	verb, wendabûn
disappoint	ˌdisəˈpoint, şaşhiştin
disappointed	ˌdisəˈpointid, şaşhiştin
disappointing	ˌdisəˈpointiNG, şaşhişt
disappointment	ˌdisəˈpointmənt, şaşhiştinî
disappoints	ˌdisəˈpoint, şaşhiştin
disapproval	ˌdisəˈpro͞ovəl, dilnerazîtî
disapprovals	ˌdisəˈpro͞ovəl, dilnerazîtî
disapprove	ˌdisəˈpro͞ov, dilnerazîbûn
disapproved	verb, dilnerazîbûn
disapproves	ˌdisəˈpro͞ov, dilnerazîbûn
disapproving	ˌdisəˈpro͞oviNG, dilnerazîbûn
disarm	disˈärm, bêçekkirin
disarmament	disˈärməmənt, çekkêmkirin
disarmed	verb, bêçekkirin
disarming	disˈärmiNG, bêçekkirin
disarms	disˈärm, bêçekkirin
disaster	diˈzastər, filaket
disasters	diˈzastər, filaket
disastrous	diˈzastrəs, filakten
disband	disˈband, belakirin
disbanded	verb, belakirin
disbanding	disˈband, belakirin
disbands	disˈband, belakirin
disbelief	ˌdisbəˈlēf, şik
disbeliefs	ˌdisbəˈlēf, şik
discharge	, bardanîn
discharged	verb, bardanîn
discharges	, bardanîn
discharging	verb, bardanîn
disciple	diˈsīpəl, dilxaz
disciples	noun, dilxaz
discipline	ˈdisəplin, disiplîn
disciplines	noun, disiplîn
disclose	disˈklōz, kişivkirin
disclosed	verb, kişivkirin
discloses	disˈklōz, kişivkirin
disclosing	verb, kişivkirin
disclosure	disˈklōZHər, kişivî
disclosures	disˈklōZHər, kişivî
discomfort	disˈkəmfərt, nerehetî
discomforts	noun, nerehetî
disconnect	ˌdiskəˈnekt, hevqetandin
disconnected	ˌdiskəˈnektid, hevqetandin
disconnecting	verb, hevqetandin
disconnects	ˌdiskəˈnekt, hevqetandin
discontinue	ˌdiskənˈtinyo͞o, qûtkirin
discontinued	ˌdiskənˈtinyo͞od, qûtkirin
discontinues	ˌdiskənˈtinyo͞o, qûtkirin
discontinuing	ˌdiskənˈtinyo͞o, qûtkirin
discount	, kêmkirinî
discounts	, kêmkirinî
discourage	-ˈkə-rij,disˈkərij, qidûmşikandin
discouraged	-ˈkə-rijd,disˈkərijd, qidûmşikandin
discourages	-ˈkə-rij,disˈkərij, qidûmşikandin
discouraging	disˈkərijiNG, qidûmşikandin
discover	disˈkəvər, kişfkirin
discovered	verb, kişfkirin
discoveries	noun, kişfî
discovering	verb, kişfkirin
discovers	disˈkəvər, kişfkirin
discovery	disˈkəvərē, kişfî
discreet	disˈkrēt, bêdeng
discrepancies	noun, ferq
discrepancy	disˈkrepənsē, ferq
discretion	disˈkreSHən, dizîtî
discriminate	disˈkriməˌnāt, biçûkdîtin
discriminated	verb, biçûkdîtin
discriminates	disˈkriməˌnāt, biçûkdîtin
discriminating	disˈkriməˌnātiNG, biçûkdîtin
discrimination	disˌkriməˈnāSHən, biçûkdîtinî
discriminations	disˌkriməˈnāSHən, biçûkdîtinî
discuss	disˈkəs, hevaxaftin
discussed	verb, hevaxaftin
discusses	disˈkəs, hevaxaftin
discussing	verb, hevaxaftin
discussion	disˈkəSHən, nîqaş
discussions	noun, nîqaş
disease	diˈzēz, nexweşî
diseases	noun, nexweşî
disgrace	disˈgrās, eyb
disgraceful	disˈgrāsfəl, riswa
disgraces	disˈgrās, eyb
disguise	disˈgīz, sergirtin
disguised	verb, sergirtin
disguises	disˈgīz, sergirtin
disguising	verb, sergirtin
disgust	disˈgəst, girêzî
disgusting	disˈgəstiNG, girêze
dish	diSH, ferax
dishes	noun, ferax
dishonest	disˈänist, nerast
disk	disk, lewha
disks	disk, lewha
dislocate	disˈlōkāt,ˈdislōˌkāt, jicîderketin
dislocated	verb, jicîderketin
dislocates	disˈlōkāt,ˈdislōˌkāt, jicîderketin
dislocating	disˈlōkāt,ˈdislōˌkāt, jicîderketin
dismantle	disˈmantl, berhevgirtin
dismantled	verb, berhevgirtin
dismantles	disˈmantl, berhevgirtin
dismantling	verb, berhevgirtin
dismiss	disˈmis, berdan
dismissal	disˈmisəl, berdanî
dismissals	disˈmisəl, berdanî
dismisses	disˈmis, berdan
dismissing	verb, berdan
disobedience	ˌdisəˈbēdēəns, asêtî
disobedient	ˌdisəˈbēdēənt, asê
disobey	ˌdisəˈbā, gûhnedan
disobeyed	verb, gûhnedan
disobeying	verb, gûhnedan
disobeys	ˌdisəˈbā, gûhnedan
disorder	disˈôrdər, bêsazî
disorders	noun, bêsazî
disperse	disˈpərs, belakirin
dispersed	verb, belakirin
disperses	disˈpərs, belakirin
dispersing	verb, belakirin
displace	disˈplās, lişûnkirin
displaced	verb, lişûnkirin
displaces	disˈplās, lişûnkirin
displacing	verb, lişûnkirin
display	disˈplā, rêdan
displayed	disˈplād, rêdan
displaying	verb, rêdan
displays	verb, rêdan
disprove	disˈpro͞ov, pûçkirin
disproved	verb, pûçkirin
disproves	disˈpro͞ov, pûçkirin
disproving	verb, pûçkirin
dispute	disˈpyo͞ot, devavêtî
disputed	verb, înkarkirin
disputes	noun, devavêtî
disputing	verb, înkarkirin
disrespectful	ˌdisriˈspektfəl, bêhûrmet
disrupt	disˈrəpt, sekindayin
disrupted	verb, sekindayin
disrupting	verb, sekindayin
disruption	disˈrəpSHən, rawesta
disruptions	disˈrəpSHən, rawesta
disrupts	disˈrəpt, sekindayin
dissatisfied	disˈsatisˌfīd, nerazî
dissolve	diˈzälv, helandin
dissolved	verb, helandin
dissolves	verb, helandin
dissolving	verb, helandin
distance	ˈdistəns, dûrî
distances	noun, dûrî
distant	ˈdistənt, dûr
distinction	disˈtiNGkSHən, ferqîdîtinî
distinctions	disˈtiNGkSHən, ferqîdîtinî
distinguish	disˈtiNGgwiSH, ferqdîtin
distinguished	disˈtiNGgwiSHt, ferqdîtin
distinguishes	verb, ferqdîtin
distinguishing	disˈtiNGgwiSHiNG, ferqdîtin
distract	disˈtrakt, balalîdan
distracted	disˈtraktəd, balalîdan
distracting	disˈtraktiNG, balalîdan
distraction	disˈtrakSHən, balalîdanî
distractions	noun, balalîdanî
distracts	disˈtrakt, balalîdan
distress	disˈtres, tûnebûnî
distribute	disˈtribyo͞ot, belavkirin
distributed	verb, belavkirin
distributes	disˈtribyo͞ot, belavkirin
distributing	verb, belavkirin
distribution	ˌdistrəˈbyo͞oSHən, belavkirinî
distributions	ˌdistrəˈbyo͞oSHən, belavkirinî
district	ˈdistrikt, herêm
districts	noun, herêm
distrust	disˈtrəst, nebawerîn
distrusted	disˈtrəst, nebawerîn
distrusting	disˈtrəst, nebawerîn
distrusts	disˈtrəst, nebawerîn
disturb	disˈtərb, nerehetkirin
disturbance	disˈtərbəns, nerehetî
disturbances	noun, nerehetî
disturbed	disˈtərbd, nerehetkirin
disturbing	disˈtərbiNG, nerehetkirin
disturbs	verb, nerehetkirin
ditch	diCH, kort
ditches	diCH, kort
dive	dīv, navdeçûn
dived	verb, navdeçûn
diver	ˈdīvər, avjan
divers	ˈdīvərz, avjan
diverse	diˈvərs,dī-, cewaze
diversion	diˈvərZHən,dī-, balalîdanî
diversions	diˈvərZHən,dī-, balalîdanî
divert	diˈvərt,dī-, rêgûherrandin
diverted	verb, rêgûherrandin
diverting	verb, rêgûherrandin
diverts	diˈvərt,dī-, rêgûherrandin
dives	verb, navdeçûn
divide	diˈvīd, parkirin
divided	verb, parkirin
divides	verb, parkirin
dividing	verb, parkirin
diving	ˈdīviNG, navdeçûn
division	diˈviZHən, parî
divisions	noun, parî
divorce	diˈvôrs, telaqdan
divorced	verb, telaqdan
divorces	diˈvôrs, telaqdan
divorcing	verb, telaqdan
divorcé	verb, telaqdan
divorcés	verb, telaqdan
dizzier	ˈdizē, sergêjane
dizziest	ˈdizē, sergêjane
dizzy	ˈdizē, sergêjane
d.o	do͞o,dō, kirin
D.O.	verb, kirin
do	do͞o,dō, kirin
dock	däk, çirav
docks	noun, çirav
doctor	ˈdäktər, pizişk
doctors	noun, pizişk
document	, belge
documents	noun, belge
does	verb, kirin
dog	dôg, seh
doing	ˈdo͞oiNG, kirin
doll	däl, bebek
dolls	noun, bebek
dolphin	ˈdälfin,ˈdôl-, masîyê ûnis
dolphins	noun, masîyê ûnis
domestic	dəˈmestik, malî
dominant	ˈdämənənt, şertên hûkûmker
dominate	ˈdäməˌnāt, hûkûmkirin
dominated	verb, hûkûmkirin
dominates	verb, hûkûmkirin
dominating	verb, hûkûmkirin
donate	dōˈnāt,ˈdōnāt, bêşdan
donated	verb, bêşdan
donates	dōˈnāt,ˈdōnāt, bêşdan
donating	verb, bêşdan
donation	dōˈnāSHən, şabaş
donations	noun, şabaş
donkey	ˈdäNG-,ˈdôNGkē, ker
donkeys	noun, ker
door	dôr, derî
dormitories	noun, jûra razanê
dormitory	ˈdôrmiˌtôrē, jûra razanê
dosage	ˈdōsij, pîvanîk
dosages	ˈdōsij, pîvanîk
double	ˈdəbəl, dûcar
doubt	dout, şikhebûn
doubted	dout, şikhebûn
doubtful	ˈdoutfəl, şikî
doubting	verb, şikhebûn
doubts	verb, şikhebûn
dough	dō, hevîr
dove	dəv, kew
doves	noun, kew
down	doun, jêr
downfall	ˈdounˌfôl, hilweşînî
downfalls	noun, hilweşînî
downtown	ˈdounˈtoun, navbajar
downtowns	noun, navbajar
dowries	ˈdou(ə)rē, cihêz
dowry	ˈdou(ə)rē, cihêz
dozen	ˈdəzən, deste
drag	drag, xwêrvekişandin
dragged	verb, xwêrvekişandin
dragging	verb, xwêrvekişandin
drag on	noun, zîha
dragon	ˈdragən, zîha
dragon fly	noun, firroke
dragonfly	ˈdragənˌflī, firroke
drags	drag, xwêrvekişandin
drain	drān, zûhakirin
drained	verb, zûhakirin
draining	verb, zûhakirin
drains	verb, zûhakirin
drama	ˈdrämə, dilşewatî
dramas	ˈdrämə, dilşewatî
drank	verb, vexwarin
drastic	ˈdrastik, teskepir
draw	drô, xetkirin
drawing	ˈdrô-iNG, xet
drawings	noun, xet
drawn	drôn, xetkirin
draws	verb, xetkirin
dream	drēm, xewndîtin
dreamed	verb, xewndîtin
dreaming	verb, xewndîtin
dreams	verb, xewndîtin
dress	dres, kinclêkirin
dressed	verb, kinclêkirin
dresses	verb, kinclêkirin
dressing	ˈdresiNG, paçê birîn girêdanê
dressings	ˈdresiNG, paçê birîn girêdanê
drew	verb, xetkirin
dried	verb, zûhakirin
drier	adjective, zûha
dries	drī, zûhakirin
driest	adjective, zûha
drill	dril, qûlkirin
drilled	verb, qûlkirin
drilling	verb, qûlkirin
drills	verb, qûlkirin
drink	driNGk, vexwarok
drinking	verb, vexwarin
drinks	noun, vexwarok
drip	drip, dilopkirin
dripped	verb, dilopkirin
dripping	ˈdripiNG, dilopkirin
drips	drip, dilopkirin
drive	drīv, ajotin
driver	ˈdrīvər, ajotvan
drives	verb, ajotin
driving	ˈdrīviNG, ajotin
driving license	noun, destûra ajotinê
drop	dräp, dilopkirin
dropped	verb, dilopkirin
dropping	verb, dilopkirin
drops	verb, dilopkirin
drought	drout, bêavî
droughts	drout, bêavî
drove	drōv, ajotin
drown	droun, fetisîn
drowned	verb, fetisîn
drowning	verb, fetisîn
drowns	verb, fetisîn
drug	drəg, tevazok
druggist	ˈdrəgist, tevazokevan
druggists	noun, tevazokevan
drugs	noun, tevazok
drugstore	ˈdrəgˌstôr, dermanxane
drugstores	ˈdrəgˌstôr, dermanxane
drum	drəm, defik
drummer	ˈdrəmər, devikvan
drummers	noun, devikvan
drunk	drəNGk, serxweş
drunker	adjective, serxweş
drunkest	drəNGk, serxweş
dry	drī, zûhakirin
drying	verb, zûhakirin
dryness	noun, zûhatî
duck	dək, werdek
ducks	noun, werdek
dug	dəg, kort
dumb	dəm, kêmaqil
dumber	dəm, kêmaqil
dumbest	dəm, kêmaqil
dune	d(y)o͞on, girik
dunes	noun, girik
dungeon	ˈdənjən, binerd
dungeons	noun, binerd
duplicate	, dûbarekirin
duplicated	verb, dûbarekirin
duplicates	verb, dûbarekirin
duplicating	verb, dûbarekirin
duplication	ˌd(y)o͞opləˈkāSHən, zêdejimarkirin
duplications	ˌd(y)o͞opləˈkāSHən, zêdejimarkirin
durabilities	ˌd(y)o͝orəˈbilitē, xweparêzî
durability	ˌd(y)o͝orəˈbilitē, xweparêzî
durable	ˈd(y)o͝orəbəl, herdemîn
duration	d(y)o͝orˈāSHən, demajok
durations	d(y)o͝orˈāSHən, demajok
during	ˈd(y)o͝oriNG, dema
dusk	dəsk, êvartarî
dusks	dəsk, êvartarî
dust	dəst, toz
dustier	ˈdəstē, tozîn
dustiest	ˈdəstē, tozîn
dusts	dəst, toz
dusty	ˈdəstē, tozîn
duties	noun, gimrig
duty	ˈd(y)o͞otē, gimrig
dye	dī, rengkirin
dyed	verb, rengkirin
dyeing	verb, rengkirin
dyes	verb, rengkirin
dying	ˈdī-iNG, mirin
dynamo	ˈdīnəˌmō, dînemo
dynamos	ˈdīnəˌmō, dînemo
débris	noun, xirbe
E2K-Thesaurus
<link rel="stylesheet" type="text/css" href="E2K-Thesaurus.css" /><div align="center"><b><font face="Verdana" size="4" color="#0b5bc4">English to Kurdish and Thesaurus <br> Ver. 2.4.2</font></b></div><br><br><img class="center" src="E2K-Thesaurus.png"><br><br><div align="center"><font face="Verdana" size="3" color="#434343">MDX made by: <b><a href="mailto:dolanskurd@mail.com">Dolan</a></b></font></div><br><font face="Verdana" size="3" color="#242120"><b>Entries:</b> 15,047</font><br><br><font face="Verdana" size="3" color="#242120"><b>Date:</b> 10-Aug-2018</font><br><br><font face="Verdana" size="3" color="#242120">Search <b> E2K-Thesaurus </b> for more information</font><br><br><font face="Verdana" size="3" color="#ff0000"><b>NOTE:</b> This material is for academic and personal use only, free but WITHOUT ANY WARRANTY. </font><br><br>
</>
each	ēCH, herkes
eager	ˈēgər, jîrane
eagle	ˈēgəl, qertel
ear	i(ə)r, gûh
earlier	adjective, zû
earliest	adjective, zû
ear lobe	noun, lepê gûh
earlobe	ˈi(ə)rˌlōb, lepê gûh
earlobes	noun, lepê gûh
early	ˈərlē, zû
earn	ərn, qezenckirin
earned	verb, qezenckirin
earning	verb, qezenckirin
earns	verb, qezenckirin
ear ring	noun, gûhar
earring	ˈi(ə)rˌ(r)iNG, gûhar
earrings	noun, gûhar
ears	noun, gûh
earth	ərTH, erd
earthquake	ˈərTHˌkwāk, erdhejî
ease	ēz, sivikî
easiest	adjective, sivik
east	ēst, rohilat
Easter	ˈēstər, cejna hêkan
eastern	ˈēstərn, rohilatî
eastwards	adverb, berbirohilat
easy	ˈēzē, sivik
eat	ēt, êmxwarin
eaten	verb, êmxwarin
eating	verb, êmxwarin
eats	verb, êmxwarin
echo	ˈekō, dengvegerîn
echoes	noun, dengvegerîn
eclipse	iˈklips, tarîreş
eclipses	noun, tarîreş
ecologies	iˈkäləjē, herêmparêzî
ecology	iˈkäləjē, herêmparêzî
economic	ˌekəˈnämik,ˌēkə-, aborîn
economies	noun, abor
economy	iˈkänəmē, abor
edge	ej, qerax
edges	noun, qerax
edit	ˈedit, weşandin
edited	verb, weşandin
editing	verb, weşandin
editor	ˈeditər, weşanvan
editors	noun, weşanvan
edits	ˈedit, weşandin
educate	ˈejəˌkāt, gîhandin
educated	ˈejəˌkātid, gîhandin
educates	ˈejəˌkāt, gîhandin
educating	verb, gîhandin
education	ˌejəˈkāSHən, zanyarî
educations	ˌejəˈkāSHən, zanyarî
eel	ēl, marmasî
eels	ēl, marmasî
effect	iˈfekt, tesîr
effective	iˈfektiv, tesîrane
effects	noun, tesîr
efficiencies	noun, kêrhatîya bicîanîn
efficiency	iˈfiSHənsē, kêrhatîya bicîanîn
efficient	iˈfiSHənt, kêrhatê bicîanîn
effort	ˈefərt, berxwedanî
efforts	noun, berxwedanî
egg	eg, hêk
eggs	noun, hêk
eight	āt, heşt
eighteen	āˈtēn,ˈāˌtēn, hîjdeh
eighth	ā(t)TH, heştêm
eights	noun, heşt
eighty	ˈātē, heştê
either	ˈēT͟Hər,ˈīT͟Hər, ew jî ne
eject	iˈjekt, derveavêtin
ejected	verb, derveavêtin
ejecting	verb, derveavêtin
ejects	verb, derveavêtin
elaborate	, dûrûdirîj
elbow	ˈelˌbō, enîşk
elbows	noun, enîşk
elder	ˈeldər, pîran
elders	noun, pîran
elect	iˈlekt, hilbijartin
elected	verb, hilbijartin
electing	verb, hilbijartin
election	iˈlekSHən, hilbajartinî
elections	noun, hilbajartinî
electric	iˈlektrik, elatrîkî
electricity	ilekˈtrisitē,ˌēlek-, elatrîk
elects	verb, hilbijartin
elegance	ˈeləgəns, çelengî
elegant	ˈeləgənt, çeleng
element	ˈeləmənt, pêve
elements	noun, pêve
elephant	ˈeləfənt, fîl
elephants	noun, fîl
elevation	ˌeləˈvāSHən, girik
elevations	noun, girik
elevator	ˈeləˌvātər, esansor
elevators	noun, esansor
eleven	iˈlevən, yazdeh
elevens	noun, yazdeh
eligible	ˈeləjəbəl, heqdar
eliminate	iˈliməˌnāt, jiberrakirin
eliminated	verb, jiberrakirin
eliminates	verb, jiberrakirin
eliminating	verb, jiberrakirin
else	els, wekîdi
elude	iˈlo͞od, jiberçûn
eluded	verb, jiberçûn
eludes	iˈlo͞od, jiberçûn
eluding	iˈlo͞od, jiberçûn
elusive	iˈlo͞osiv, jidestrevî
embargo	emˈbärgō, embargo
embark	emˈbärk, gemîkirin
embarked	verb, gemîkirin
embarking	verb, gemîkirin
embarks	emˈbärk, gemîkirin
embarrass	emˈbarəs, şermezarkirin
embarrassed	emˈbarəst, şermezarkirin
embarrasses	emˈbarəs, şermezarkirin
embarrassing	emˈbarəsiNG, fedîkarî
embarrassment	-mənt, fedî
embarrassments	-mənt, fedî
embassies	ˈembəsē, sefaret
embassy	ˈembəsē, sefaret
embezzle	emˈbezəl, bindestkirin
embezzled	verb, bindestkirin
embezzles	verb, bindestkirin
embezzling	verb, bindestkirin
emblem	ˈembləm, nîşan
emblems	noun, nîşan
embrace	emˈbrās, himbêzkirin
embraced	verb, himbêzkirin
embraces	verb, himbêzkirin
embracing	verb, himbêzkirin
embryo	ˈembrēˌō, limik
embryos	ˈembrēˌō, limik
emerge	iˈmərj, derketina meydanê
emerged	verb, derketina meydanê
emergencies	noun, acîlîyet
emergency	iˈmərjənsē, acîlîyet
emerges	verb, derketina meydanê
emerging	verb, derketina meydanê
emigrant	ˈemigrənt, welatberda
emigrants	noun, welatberda
emigrate	ˈemiˌgrāt, welatberdan
emigrated	verb, welatberdan
emigrates	ˈemiˌgrāt, welatberdan
emigrating	verb, welatberdan
emigration	noun, welatberdanî
emigrations	noun, welatberdanî
emotion	iˈmōSHən, his
emotional	iˈmōSHənəl, hisî
emotions	noun, his
emperor	ˈemp(ə)rər, keyser
emperors	noun, keyser
emphases	ˈemfəsis, bidengî
emphasis	ˈemfəsis, bidengî
emphasise	ˈemfəˌsīz, bidengkirin
emphasised	verb, bidengkirin
emphasises	verb, bidengkirin
emphasising	verb, bidengkirin
emphasize	ˈemfəˌsīz, bidengkirin
emphasized	verb, bidengkirin
emphasizes	verb, bidengkirin
emphasizing	verb, bidengkirin
empire	ˈemˌpī(ə)r, qiralîyet
empires	noun, qiralîyet
employ	emˈploi, kardayin
employed	verb, kardayin
employee	emˈploi-ē,ˌemploiˈē, karker
employees	noun, karker
employer	emˈploi-ər, karda
employers	noun, karda
employing	verb, kardayin
employment	emˈploimənt, kar
employments	emˈploimənt, kar
employs	emˈploi, kardayin
emptied	verb, valakirin
emptier	adjective, vala
empties	verb, valakirin
emptiest	ˈem(p)tē, vala
empty	ˈem(p)tē, valakirin
emptying	verb, valakirin
enable	enˈābəl, bikêrkirin
enabled	verb, bikêrkirin
enables	verb, bikêrkirin
enabling	verb, bikêrkirin
encircle	enˈsərkəl, çemberkirin
encircled	verb, çemberkirin
encircles	enˈsərkəl, çemberkirin
encircling	verb, çemberkirin
enclose	enˈklōz, dorgirtin
enclosed	verb, dorgirtin
encloses	enˈklōz, dorgirtin
enclosing	verb, dorgirtin
enclosure	enˈklōZHər, dorçîtkişanî
enclosures	noun, dorçîtkişanî
encounter	enˈkoun(t)ər, lihevrasthatin
encountered	verb, lihevrasthatin
encountering	enˈkoun(t)ər, lihevrasthatin
encounters	verb, lihevrasthatin
encourage	-ˈkə-rij,enˈkərij, cisaretdan
encouraged	verb, cisaretdan
encouragement	enˈkərijmənt, cisaretdanî
encouragements	enˈkərijmənt, cisaretdanî
encourages	verb, cisaretdan
encouraging	enˈkərijiNG, cisaretdan
end	end, dawî
endanger	enˈdānjər, talûkekirin
endangered	enˈdānjərd, talûkekirin
endangering	verb, talûkekirin
endangers	enˈdānjər, talûkekirin
endeavor	enˈdevər, hewldanî
endeavors	noun, hewldanî
endeavour	enˈdevər, hewldanî
endeavours	noun, hewldanî
endless	ˈen(d)ləs, bêdawî
endorse	enˈdôrs, destnîşankirin
endorsed	verb, destnîşankirin
endorsement	enˈdôrsmənt, destnîşankirinî
endorsements	enˈdôrsmənt, destnîşankirinî
endorses	enˈdôrs, destnîşankirin
