a	ئا
qerti qüle	قه‌رتْ قؤله‌
qerti qüne	قه‌رتْ قؤنه‌
qert kirdin	قه‌رت كردن‌
qertî	قه‌رتی
qert û qûĺe	قه‌رت وقووڵه‌‌
qerwîn	قه‌روین‌
qerz	قه‌رز
qerzîle	قه‌رزیله‌
qerîw	قه‌ریو
qerîw qerîw	قه‌ریوقه‌ریو
qerün	قه‌رؤن‌
qerüye	قه‌رؤیه‌
qer̂an	قه‌ڕان‌
qer̂aze	قه‌ڕازه‌
qer̂nase	قه‌ڕناسه‌
qer̂nîz	قه‌ڕنیز
qes	قه‌س‌
qesaw	قه‌ساو
qesaw xane	قه‌ساوخانه‌
qesawî	قه‌ساوی
qesem	قه‌سه‌م‌
qesem dan	قه‌سه‌م ‌دان‌
qesr	قه‌سر
qesri şîrîn	قه‌سرْشیرین‌
qesrî	قه‌سری
qesrî çir̂	قه‌سری چڕ
qesyan	قه‌سیان‌
qesî	قه‌سی
qesî kirdin	قه‌سی كردن‌
qesîl	قه‌سیل‌
qesîl her̂işanin	قه‌سیل ‌هه‌ڕشانن‌
qesî pê kirdin	قه‌سی پێ كردن‌
qesî pê wetin	قه‌سی پێ وه‌تن‌
qesĺan	قه‌سڵان‌
qet	قه‌ت‌
qetar	قه‌تار
qetar besan	قه‌تار به‌سان‌
qetare	قه‌تاره‌
qetare besan	قه‌تاره‌ به‌سان‌
qetare dan	قه‌تاره ‌دان‌
qetar kirdin	قه‌تار كردن‌
qetiyan	قه‌تیان‌
qetran	قه‌تران‌
qetranî	قه‌ترانی
qetre	قه‌تره‌
qetî	قه‌تی
qetĺ	قه‌تڵ
qew	قه‌و
qewarat	قه‌وارات‌
qewarat naşîrîn	قه‌وارات ‌ناشیرین‌
qeware	قه‌واره‌
qewaret	قه‌واره‌ت‌
qewartê	قه‌وارتێ
qewasî	قه‌واسی
qewax	قه‌واخ‌
qewaĺe	قه‌واڵه‌‌
qewaĺtê	قه‌والتێ
qewe	قه‌وه‌
qewe kirdin	قه‌وه‌ كردن‌
qewesye	قه‌وه‌سیه‌
qewet	قه‌وه‌ت‌
qewet kirdin	قه‌وه‌ت كرتن‌
qewm	قه‌وم‌
qewman	قه‌ومان‌
qewmeyl bêgane	قه‌ومه‌یل ‌بێگانه‌
qewmeyl zaĺim	قه‌ومه‌یل‌ زاڵم‌
qewmî	قه‌ومی
qewmî kirdin	قه‌ومی ‌كردن‌
qewr	قه‌ور
qewr gewrî	قه‌ورگه‌وری
qewri bawe	قه‌ور باوه
qewr ken	قه‌وركه‌ن‌
qewr kenek	قه‌وركه‌نه‌ك‌
qewr kenîn	قه‌ور كه‌نین‌
qewr pişkinek	قه‌ور پشكنه‌ك‌
qewrsan	قه‌ورسان‌
qewr yawe	قه‌ور یاوه
qewz	قه‌وز
qewzaq	قه‌وزاق‌
qewzax	قه‌وزاخ‌
qewze r̂ûh̀	قه‌وزه‌ رووح‌
qewzi eqmaz	قه‌وزْئه‌قماز
qewçel	قه‌وچه‌ل‌
qewçer	قه‌وچه‌ر
qewçey	قه‌وچه‌ی
qewçeĺ	قه‌وچه‌ڵ
qewçiĺ	قه‌وچڵ
qewî	قه‌وی
qewîn	قه‌وین‌
qewĺ	قه‌وڵ
qewĺ dan	قه‌وڵ دان‌
qewĺ girtin	قه‌وڵ گرتن‌
qewĺi qerar	قه‌وڵ قه‌رار
qewĺ senin	قه‌وڵ سه‌نن‌
qey	قه‌ی
qeybe	قه‌یبه‌
qeybe bir̂	قه‌یبه‌بڕ
qeybir̂	قه‌یبڕ
qeybir̂î	قه‌یبڕی
qeybir̂în	قه‌یبڕین‌
qeyem xêr 1	قەیەم‌خێر
qey kirdin	قه‌ی كردن‌
qeyl	قه‌یل‌
qeylê	قه‌یلێ
qeym	قه‌یم‌
qeymas	قه‌یماس‌
qeymax	قه‌یماخ‌
qeymaxe	قه‌یماخه‌
qeymaxe dan	قه‌یماخه ‌دان‌
qeymax́	قه‌یماغ‌
qeyme	قه‌یمه‌
qeyme	قه‌یمه‌
qeyme kirdin	قه‌یمه ‌كردن‌
qeyme qeyme	قه‌یمه ‌قه‌یمه‌
qeynat	قه‌ینات‌
qeynax	قه‌یناخ‌
qey neyrê	قه‌ی نه‌یرێ
qey nyekey	قه‌ی نیه‌كه‌ی
qeypi qurp	قه‌یپْ قورپ‌
qeyqaj	قه‌یقاژ
qeyqaç	قه‌یقاچ‌
qey qiĺax	قه‌ی قڵاخ‌
qeyqurp	قه‌یقورپ‌
qeyr	قه‌یر
qeyran	قه‌یران‌
qeyrwen	قه‌یروه‌ن‌
qeyr zan	قه‌یرزان‌
qeyr zanistin	قه‌یر زانستن‌
qeyrê	قه‌یرێ
qeyser	قه‌یسه‌ر
qeysere	قه‌یسه‌ره‌
qeyserî	قه‌یسه‌ری
qeysewen	قه‌یسەوەن‌
qeysî	قه‌یسی
qeyt	قه‌یت‌
qeytan	قه‌یتان‌
qeytaney kew	قه‌یتانه‌ی كه‌و
qeytaze	قه‌یتازه‌
qeyter	قه‌یته‌ر
qeyteran	قه‌یته‌ران‌
qeyti qir̂	قه‌یتْقڕ
qeytoĺ	قه‌یتۆ‌ڵ
qeytül	قه‌یتؤل‌
qeytülî	قه‌یتؤلی
qeyx	قه‌یخ‌
qeyxe	قه‌یخه‌
qeyxe ker	قه‌یخه‌كه‌ر
qeyxe kirdin	قه‌یخه‌ كردن‌
qeyz	قه‌یز
qeyz bün	قه‌یز بؤن‌
qeyz hatin	قه‌یز هاتن‌
qeyz kirdin	قه‌یز كردن‌
qeyz û beyz	قه‌یز وبه‌یز
qey çe	قه‌ی چه‌
qey çes	قه‌ی چه‌س‌
qeyçî	قه‌یچی
qeyçî bir̂	قه‌یچی بڕ
qeyçî kirdin	قه‌یچی كردن‌
qez	قه‌ز
qeza	قه‌زا
qezan	قه‌زان‌
qeza new	قه‌زا نه‌و
qezan qoĺfî	قه‌زانقۆ‌ڵفی
qezançî	قه‌زانچی
qeza û biĺa	قه‌زا وبڵا
qezbîn	قه‌زبین‌
qezbînî	قه‌زبینی
qezen	قه‌زه‌ن‌
qezew	قه‌زه‌و
qezwîne	قەزوینە‌
qezêyan	قه‌زێیا‌ن‌
qezîn	قه‌زین‌
qeêyexe	قه‌یه‌خه‌
qeêyexe ker	قه‌یه‌خه‌كه‌ر
qeêyexe kirdin	قه‌یه‌خه‌ كردن‌
qeü	قه‌ؤ
qeülan	قه‌ؤلان‌
qeünî	قه‌ؤنی
qeünî r̂an	قه‌ؤنی ران‌
qeüç	قه‌ؤچ‌
qeüçanin	قه‌ؤچانن‌
qeüçe qeüç	قه‌ؤچه‌قه‌ؤچ‌
qeüçin	قه‌ؤچن‌
qeĺ	قه‌ڵ
qeĺa	قه‌ڵا
qeĺa dûşan	قه‌ڵادووشان‌
qeĺa kirdin	قه‌ڵا كردن‌
qeĺandûşan	قه‌ڵاندووشان‌
qeĺanqûr̂	قه‌ڵانقووڕ
qeĺanĝ	قه‌ڵانگ‌
qeĺaw	قه‌ڵاو
qeĺawir̂	قه‌ڵاوْڕ
qeĺawiĺ	قه‌ڵاوڵ
qeĺawî	قه‌ڵاوی
qeĺay mîrawa	قەڵای ‌میراوا
qeĺaçe	قه‌ڵاچه‌
qeĺaê qeysewen	قه‌ڵاێ قەیسەوەن‌
qeĺaê r̂eza	قه‌ڵاێ ‌ڕەزا‌
qeĺb	قه‌ڵب‌
qeĺbezen	قه‌ڵبه‌زه‌ن‌
qeĺe dûşan	قه‌ڵه ‌‌دووشان‌
qeĺe dûşkan	قه‌ڵه‌‌ دووشكان‌
qeĺem	قه‌ڵه‌‌م‌
qeĺembaz	قه‌ڵه‌‌مباز
qeĺem dan	قه‌ڵه‌‌مدان‌
qeĺeme	قه‌ڵه‌‌مه‌
qeĺeme kirdin	قه‌ڵه‌‌مه‌ كردن‌
qeĺemeîy	قه‌ڵه‌‌مه‌یی
qeĺem kirdin	قه‌ڵه‌‌م كردن‌
qeĺemqûr̂	قه‌ڵه‌‌مقووڕ
qeĺem taş	قه‌ڵه‌‌متاش‌
qeĺem tiraş	قه‌ڵه‌‌متراش‌
qeĺem zen	قه‌ڵه‌‌مزه‌ن‌
qeĺemî	قه‌ڵه‌‌می
qeĺendaz	قه‌ڵه‌‌نداز
qeĺender	قه‌ڵه‌‌نده‌ر
qeĺenekî	قه‌ڵه‌‌نه‌كی
qeĺetên	قه‌ڵه‌‌تێن‌
qeĺew	قه‌ڵه‌‌و
qeĺew bün	قه‌ڵه‌‌و بؤن‌
qeĺew kirdin	قه‌ڵه‌‌و كردن‌
qeĺewî	قه‌ڵه‌‌وی
qeĺexan der̂e	قه‌ڵه‌‌خان‌ ده‌ڕه‌
qeĺe û zindan	قه‌ڵه ‌‌و زندان‌
qeĺi qwirç	قه‌ڵقورچ‌
qeĺi qüxan	قه‌ڵ قؤخان‌
qeĺmasin	قه‌ڵماسن‌
qeĺmasinĝ	قه‌ڵماسنگ‌
qeĺpax	قه‌ڵپاخ‌
qeĺpaç	قه‌ڵپاچ‌
qeĺpaç kirdin	قه‌ڵپاچ كردن‌
qeĺpaçîn	قه‌ڵپاچین‌
qeĺpence	قه‌ڵپه‌نجه‌
qeĺpence dan	قه‌ڵپه‌نجه ‌دان‌
qeĺpence kirdin	قه‌ڵپه‌نجه ‌كردن‌
qeĺp û r̂êj	قه‌ڵپ ‌و ڕێژ
qeĺt	قه‌ڵت‌
qeĺtan	قه‌ڵتان‌
qeĺtanin	قه‌ڵتانن‌
qeĺw	قه‌ڵو
qeĺwar̂	قه‌ڵواڕ
qeĺwar̂î	قه‌ڵواڕی
qeĺwe bü	قه‌ڵوه‌ بؤ
qeĺwe kwit	قه‌ڵوه‌كوت‌
qeĺwez	قه‌ڵوه‌ز
qeĺweze	قه‌ڵوه‌زه‌
qeĺw kirdin	قه‌ڵو كردن‌
qeĺwên	قه‌ڵوێن‌
qeĺx	قه‌ڵخ‌
qeĺxan	قه‌ڵخان‌
qeĺxanî	قه‌ڵخانی
qeĺüye	قه‌ڵؤیه‌
qeş	قه‌ش‌
qeşaw	قه‌شاو
qeşaw dan	قه‌شاودان‌
qeşaw kîşan	قه‌شاو كیشان‌
qeşen	قه‌شه‌ن‌
qeşenĝ	قه‌شه‌نگ‌
qeşenĝ bün	قه‌شنگ ‌بؤن‌
qeşenĝî	قه‌شه‌نگی
qeşkin	قه‌شكن‌
qeş le lê bir̂yan	قه‌ش ‌له ‌لێ بڕیان‌
qeşmer	قه‌شمه‌ر
qeşmerî	قه‌شمه‌ری
qeşqe	قه‌شقه‌
qeşqin	قه‌شقن‌
qidûm	قدووم‌
qif	قف‌
qife	قفه‌
qifîn	قفین‌
qifĺ	قفڵ
qifĺ dan	قفڵدان‌
qifĺi ben	قفڵ به‌ن‌
qifĺ kirdin	قفڵ كردن‌
qij	قژ
qijare	قژاره‌
qijaxe	قژاخه‌
qije	قژه‌
qije kirdin	قژه‌كردن‌
qijge	قژگه‌
qijin	قژن‌
qijinĝ	قژنگ‌
qiji qaj	قژْقاژ
qij kirdin	قژ كردن‌
qijmare	قژماره‌
qijmaĺik	قژماڵك‌
qijqar̂e	قژقاڕه‌
qijqar̂ek	قژقاڕه‌ك‌
qijqirek	قژقره‌ك‌
qijqîle	قژقیله‌
qijüle	قژؤله‌
qilyan	قلیان‌
qilyan awî	قلیان‌ ئاوی
qilyeçan	قلیه‌چان‌
qilîbilî	قلیبلی
qimĺax	قمڵاخ‌
qimşî	قمشی
qimşî kirdin	قمشی كردن‌
qin	قن‌
qinc	قنج‌
qinc bir̂în	قنج ‌بڕین‌
qince	قنجه‌
qince qince	قنجه قنجه‌
qincge	قنجگه‌
qinc girtin	قنج گرتن‌
qincig tyeĺ	قنجـْگ ‌تیه‌ڵ
qinc kirdin	قنج كردن‌
qing xir̂ kirdin	قنگ ‌خڕكردن‌
qin pile	قن‌پله‌
qins	قنس‌
qinsî	قنسی
qinyat	قنیات‌
qinz	قنز
qinç	قنچ‌
qinç kirdin	قنچ كردن‌
qinĝ	قنگ‌
qinĝanîsk	قنگانیسك‌
qinĝdan	قنگدان‌
qinĝder	قنگده‌ر
qinĝenişîn	قنگه‌نشین‌
qinĝenişîne	قنگه‌نشینه‌
qinĝeparêz	قنگه‌پارێز
qinĝeparêzî	قنگه‌پارێزی‌
qinĝepyerêz	قنگه‌پیه‌رێز
qinĝepyerêzî	قنگه‌پیه‌رێزی‌
qinĝe sir̂iganî	قنگه ‌سڕگانی
qinĝe xew	قنگه‌خه‌و
qinĝe xişî	قنگه‌خشی
qinĝ girtin	قنگ گرتن‌
qinĝir	قنگر
qinĝ leqanin	قنگ‌ له‌قانن‌
qinĝ leqine	قنگ‌ له‌قنه‌
qinĝlî	قنگلی
qinĝnasire	قنگ‌ ناسره‌
qinĝ neşûr	قنگ‌ نه‌شوور
qinĝ paşne	قنگ‌پاشنه‌
qinĝqülî	قنگ ‌قؤلی
qinĝ xir̂	قنگ‌ خڕ
qinĝ xir̂ dan	قنگ‌ خڕدان‌
qinĝçil	قنگ‌چل‌
qinĝĺaşik	قنگڵاشك‌
qinĝ şil	قنگ‌شل‌
qiraf	قراف‌
qiranse	قرانسه‌
qiranĝse	قرانگسه‌
qirarî	قراری
qirinc	قرْنج‌
qirincanin	قرْنجانن‌
qirj	قرژ
qirj heĺatin	قرژ هه‌ڵاتن‌
qirjinĝ	قرژنگ‌
qirjüle	قرژؤله‌
qirm	قرم‌
qirmanin	قرمانن‌
qirme	قرمه‌
qirme qirm	قرمه‌قرم‌
qirmi qaĺ	قرمْ قاڵ
qirmi qaĺ kirdin	قرمْقاڵ كردن‌
qirmiz	قرمز
qirmizî	قرمزی‌
qirmiş	قرمش‌
qirnĝanin	قرنگانن‌
qirnĝe	قرنگه‌
qirp	قرپ‌
qirpanin	قرپانن‌
qirpe	قرپه‌
qirpin	قرپن‌
qirpi qaüt	قرپْ قاؤت‌
qirpçî	قرپچی
qirp û bir̂wa	قرپ ‌وبڕوا
qirqine	قرقنه‌
qirqinê	قرقنێ
qirt	قرت‌
qirtan	قرتان‌
qirtanin	قرتانن‌
qirte	قرته‌
qirteguwan	قرته‌گووان‌
qirte qirt	قرته‌قرت‌
qirtin	قرتن‌
qirtinĝ	قرتنگ‌
qirtya	قرتیا
qirtyan	قرتیان‌
qirtyaê	قرتیاێ
qirtî	قرتی
qirt û firt	قرت ‌وفرت‌
qirx	قرخ‌
qirxanin	قرخانن‌
qirxe	قرخه‌
qirxe qirx	قرخه‌قرخ‌
qirxin	قرخن‌
qirxine	قرخنه‌
qirç	قرچ‌
qirçe	قرچه‌
qirçe qirç	قرچه‌قرچ‌
qirç eĺatê	قرچ‌ ئه‌لاتێ
qirçe şikanin	قرچه‌شكانن‌
qirçe şikin	قرچه‌شكن‌
qirç heĺatin	قرچ‌ هه‌ڵاتن‌
qirçi hir̂	قرچْهڕ
qirçin	قرچن‌
qirçinĝ	قرچنگ‌
qirçyan	قرچیان‌
qirçû	قرچوو
qirîwanin	قریوانن‌
qirîwe	قریوه‌
qirîwe qirîw	قریوه ‌قریو
qir̂	قڕ
qir̂a	قڕا
qir̂am	قڕام‌
qir̂an	قڕان‌
qir̂anin	قڕانن‌
qir̂aze	قڕازه‌
qir̂ dan	قڕدان‌
qir̂e	قڕه‌
qir̂ hatin	قڕهاتن‌
qir̂i fir̂	قڕْفڕ
qir̂i pûq	قڕْپووق‌
qir̂işmaĺ	قڕشماڵ
qir̂ kirdin	قڕكردن‌
qir̂niqaz	قڕنـْقاز
qir̂qir̂e	قڕقڕه‌
qir̂waq	قڕواق‌
qir̂û	قڕوُ
qir̂ û qepûz	قڕ و قه‌پووز
qise	قسه‌
qise ber	قسه‌ به‌ر
qise birdin	قسه ‌بردن‌
qise bir̂în	قسه ‌بڕین‌
qise der hawrdin	قسه ‌ده‌ر هاوردن‌
qise dirawrdin	قسه‌ دراوردن‌
qise düranin	قسه دؤرانن‌
qise gîriyan	قسه‌ گیریان‌
qise ker	قسه ‌كه‌ر
qise kirdin	قسه ‌كردن‌
qise kîşan	قسه‌ كیشان‌
qise le r̂ü	قسه‌ له ‌ڕؤ
qise lê kîşan	قسه ‌لێ كیشان‌
qise naxweş	قسه ‌ناخوه‌ش‌
qise neseq	قسه ‌نه‌سه‌ق‌
qise neün	قسه ‌نه‌ؤن‌
qise pê kirdin	قسه ‌پێ كردن‌
qise pê wetin	قسه ‌پێ وه‌تن‌
qise qeü	قسه ‌قه‌ؤ
qise qeü kirdin	قسه ‌قه‌ؤ كردن‌
qise qüt dan	قسه ‌قؤتدان‌
qise qüt danewe	قسه ‌قؤتدانه‌وه‌
qise r̂as	قسه ‌راس‌
qise r̂aw	قسه‌ راو
qise serd	قسه ‌سه‌رد
qise tir̂in	قسه‌ تڕن‌
qise tyeĺ	قسه‌ تیه‌ڵ
qise tyeĺî	قسه‌ تیه‌ڵی
qise wetin	قسه‌ وه‌تن‌
qise xas	قسه ‌خاس‌
qise xwardin	قسه‌ خواردن‌
qise xweş	قسه ‌خوه‌ش‌
qisey düçke dar	قسه‌ی دؤچكه‌ دار
qisey gen	قسه‌ی گه‌ن‌
qisey h̀eq	قسه‌ی حه‌ق‌
qisey liçig dar	قسه‌ی لچـْگدار
qisey nacûr	قسه‌ی ناجوور
qisey na h̀eq	قسه‌ی ناحه‌ق‌
qisey nar̂ê	قسه‌ی ناڕێ
qisey nar̂îk	قسه‌ی ناڕیك‌
qisey naxweş	قسه‌ی ناخوه‌ش‌
qisey newetenî	قسه‌ی نه‌وه‌ته‌نی
qisey pêşinan	قسه‌ی پێشنان‌
qisey r̂as	قسه‌ی راس‌
qisey xas	قسه‌ی خاس‌
qisey xweş	قسه‌ی خوه‌ش‌
qisey zûr	قسه‌ی زوور
qisey şawiseynî	قسه‌ی شاوسه‌ینی
qise zan	قسه ‌زان‌
qise û bas	قسه ‌و باس‌
qismet	قسمه‌ت‌
qisr	قسر
qisyan	قسیان‌
qisye	قسیه‌
qisĺan	قسڵان‌
qit	قت‌
qit bir̂ye	قت‌ بڕیه‌
qit bir̂în	قت ‌بڕین‌
qit bün	قت‌ بؤن‌
qiti biĺa	قتْ بڵا
qiti qerar	قتْ قه‌رار
qiti qûz	قتْ قووز
qit kirdin	قت‌ كردن‌
qix	قخ‌
qixe	قخه‌
qixxe	قخخه‌
qix́e	قغه‌
qiziyan	قزیان‌
qiziĺ	قزڵ
qiziĺ der̂e	قزڵده‌ڕه‌
qiziĺqwirt	قزڵقورت‌
qizm	قزم‌
qiz qewrî	قز قەوری‌
qizziĺqwirt	قززڵقورت‌
qizî	قزی‌
qiç	قچ‌
qiçĺax	قچڵاخ‌
qiĺ	قڵ
qiĺa	قڵا
qiĺa baziĺe	قڵابازڵه‌‌
qiĺa bize r̂û	قڵا بزه‌ڕوو‌
qiĺacin	قڵاجن‌
qiĺaciq	قڵاجق‌
qiĺa coq	قڵاجۆق
qiĺacê	قڵاجێ
qiĺacûq	قڵاجوُق‌
qiĺa dakwişyan	قڵا داكوشیان‌
qiĺa damirdin	قڵا دامردن‌
qiĺa daraxan	قڵا داراخان‌
qiĺa dûşan	قڵا دووشان‌
qiĺaf	قڵاف
qiĺa fir̂	قڵافڕ
qiĺaf r̂enĝî	قڵاف ‌ره‌نگی
qiĺage	قڵاگه‌
qiĺa gewne	قڵاگه‌ونه‌
qiĺa gwiĺ	قڵاگوڵ
qiĺa kwişanin	قڵاكوشانن‌
qiĺa kwişya	قڵاكوشیا
qiĺa kwişyag	قڵاكوشیاگ‌
qiĺa kwişyan	قڵاكوشیان‌
qiĺa kwişyaê	قڵاكوشیاێ
qiĺa lan	قڵالان‌
qiĺanqûr̂	قڵانقووڕ
qiĺanĝ	قڵانگ‌
qiĺanĝe	قڵانگه‌
qiĺa peçye	قڵاپه‌چیه‌
qiĺapîk	قڵاپیك‌
qiĺapük	قڵاپؤك‌
qiĺa qiĺa	قڵا قڵا
qiĺa qubad	قڵاقوباد‌
qiĺa qîr̂an	قڵاقیڕان‌
qiĺa r̂eg	قڵاڕه‌گ‌
qiĺa r̂eşke	قڵا ڕه‌شكه‌
qiĺa r̂imin	قڵاڕمن‌
qiĺa sewzî	قڵاسه‌وزی
qiĺasim	قڵاسم‌
qiĺa sipî	قڵاسپی
qiĺa sîye	قڵاسییه‌
qiĺa sür	قڵاسؤر
qiĺate	قڵاته‌
qiĺa turk	قڵاتو‌رك‌
qiĺawar̂ê	قڵاواڕێ
qiĺawazek	قڵاوازه‌ك‌
qiĺawezek	قڵاوه‌زه‌ك‌
qiĺawir̂	قڵاوڕ
qiĺawiĺ	قڵاوڵ
qiĺawiĺî	قڵاوڵی
qiĺawçe	قڵاوچه‌
qiĺa xer̂igîne	قڵاخه‌ڕگینه‌
qiĺaxî	قڵاخی
qiĺaxî pûş	قڵاخی پووش‌
qiĺayn	قڵاین‌
qiĺa zencîr	قڵا زه‌نجیر
qiĺa zuwanekî	قڵا زووانه‌كی
qiĺaçe	قڵاچه‌
qiĺa çermê	قڵاچه‌رمێ
qiĺaçêr	قڵاچێر
qiĺaê baram beg	قڵاێ بارام‌به‌گ‌
qiĺaê dumêzer	قڵاێ دومێزەر
qiĺaê emcedî	قڵاێ ئەمجەدی‌
qiĺaê gencûran	قڵاێ گەنجووران‌
qiĺaê heresem	قڵاێ‌هه‌ره‌سه‌م‌
qiĺaê h̀isên şeker	قڵاێ حسێن‌ شه‌كه‌ر
qiĺaê memyalî	قڵاێ مەمیالی‌
qiĺaê necefeĺî xan	قڵاێ نه‌جه‌فعه‌لی‌خان
qiĺaê pispis	قڵاێ پسپس‌
qiĺaê r̂eşîaqa	قڵاێ ره‌شی‌ئاقا
qiĺaê r̂iza	قڵاێ رزا
qiĺaê sehab	قڵاێ سەهاب‌
qiĺaê werê	قڵاێ وه‌رێ
qiĺaê xer̂gîney hûşenĝ xan	قڵاێ خەڕگینەی هووشنگ‌خان
qiĺaê xer̂gîney sûfî	قڵاێ خەڕگینەی سووفی
qiĺaê şimîran	قڵاێ شمیران‌
qiĺaê şêrzige	قڵاێ شێرزگه‌
qiĺa şaxan	قڵاشاخان
qiĺa şayn	قڵاشاین‌
qiĺaŷ fer̂ixan	قڵاێ فه‌ڕخان
qiĺendaz	قڵه‌‌نداز
qiĺf	قڵف‌
qiĺikû damirdin	قڵكوو دامردن‌
qiĺi qû damirdin	قڵقوو دامردن‌
qiĺkû	قڵكوو
qiĺmasinĝ‌	قڵماسنگ‌
qiĺp	قڵپ‌
qiĺpe qiĺp	قڵپه‌قڵپ‌
qiĺ pûqi paq	قڵاپووقْپاق
qiĺqiĺe	قڵقڵه‌‌
qiĺêyana damird	قڵێیانا دامرد
qişqane	قشقانه‌
qişqir̂e	قشقڕه‌
qişĺax	قشڵاخ‌
qoj	قۆ‌ژ
qom	قۆ‌م‌
qomam	قۆ‌مام‌
qomamîle	قۆ‌مامیله‌
qomar	قۆ‌مار
qomar baz	قۆ‌مار باز
qomar bazî	قۆ‌مار بازی‌
qomar ker	قۆ‌مار كه‌ر
qomar kirdin	قۆ‌مار كردن‌
qomar xane	قۆ‌مار خانه‌
qomaç	قۆ‌ماچ‌
qomelan	قۆ‌مه‌لان‌
qomeçaĺgî	قۆ‌مه‌چاڵگی
qome çaĺig	قۆ‌مه‌چاڵگ‌
qomiêyan	قۆ‌مێیا‌ن‌
qompare	قۆ‌مپاره‌
qomte qomt	قۆ‌مته‌قۆ‌مت‌
qomç	قۆ‌مچ‌
qomç girtin	قۆ‌مچ گرتن‌
qomĺax	قۆ‌مڵاخ‌
qonax	قۆ‌ناخ‌
qonaxe	قۆ‌ناخه‌
qonaxe pêç	قۆ‌ناخه ‌پێچ‌
qonre	قۆ‌نره‌
qonêre	قۆ‌نێره‌
qoper	قۆ‌په‌ر
qoper qoper	قۆ‌په‌رقۆ‌په‌ر
qoqe	قۆ‌قه‌
qora	قۆ‌را
qoranîk	قۆ‌رانیك‌
qoraw	قۆ‌راو
qore ba ker	قۆ‌ره‌با كه‌ر
qorişk	قۆ‌رْشك‌
qorişke	قۆ‌ڕشكه‌
qormi pîf	قۆ‌رمْپیف‌
qormi pîv	قۆ‌رمْپیڤ‌
qorpe	قۆ‌رپه‌
qorç	قۆ‌رچ‌
qorûmye	قۆ‌روُمیه‌
qor̂	قۆ‌ڕ
qor̂e qor̂	قۆ‌ڕه‌قۆ‌ڕ
qor̂işqe	قۆ‌ڕشقه‌
qor̂n	قۆ‌ڕن‌
qor̂naq	قۆ‌ڕناق‌
qor̂ni diĺ	قۆ‌ڕنْ ‌دڵ
qor̂üç	قۆ‌رؤچ‌
qotar	قۆ‌تار
qotar bün	قۆ‌تار بؤن‌
qotar hatin	قۆ‌تار هاتن‌
qotayî	قۆ‌تایی
qox	قۆ‌خ‌
qoxe	قۆ‌خه‌
qozmît	قۆ‌زمیت‌
qoĺaç	قۆ‌ڵاچ‌
qoĺûxe	قۆ‌ڵووخه‌
qoĺûxedenük	قۆ‌ڵووخه ‌ده‌نؤك‌
qoşarê	قۆ‌شارێ
qoşarêye	قۆ‌شارێيه‌
qoşe	قۆ‌شه‌
qoşe dar	قۆ‌شه‌دار
qoşe nan	قۆ‌شه‌ نان‌
qoşerî	قۆ‌شه‌ری
quax	قواخ‌
qube	قوبه‌
qubĺe	قوبڵه‌‌
qufe	قوفه‌
qufĺ	قوفڵ
quj	قو‌ژ
qujge	قوژگه‌
qujge kirdin	قوژگه ‌كردن‌
qulme	قولمه‌
qumbir̂î	قومبڕی
qumilî	قوملی
qumiş	قومش‌
qumlîce	قوملیجه
qumqume	قومقومه‌
qumqumek	قومقومه‌ك‌
qumrî	قومری
qumçülik	قومچؤلك‌
qumşe	قومشه‌
qumşey kerem xan	قومشه‌ی كه‌ره‌مخان‌
qumşey lir̂ zenĝine	قومشه‌ی لڕ زه‌نگنه‌
qumşey seyd emîn	قومشه‌ی سه‌ید ئه‌مین‌
qumşey seyd qasim	قومشه‌ی سه‌ید قاسم‌
qumşey sey yaqû	قومشه‌ی سه‌ی یاقوو
qup	قوپ‌
qupan	قوپان‌
qupanin	قوپانن‌
qupke	قوپكه‌
qupya	قوپیا
qupyag	قوپیاگ‌
qupyan	قوپیان‌
qupyas	قوپیاس‌
qupyaê	قوپیاێ
qupê çinîn	قوپێ چنین‌
quran	قوران‌
quran dan	قوراندان‌
quran le mil kirdin	قوران ‌له‌مل كردن‌
quran xwardin	قوران ‌خواردن‌
quran xwen	قوران ‌خوه‌ن‌
quran xwenîn	قوران ‌خوه‌نین‌
quran xwer	قوران ‌خوه‌ر
qurb	قورب‌
qurban	قوربان‌
qurbanî	قوربانی
qureba	قوره‌با
qureba kirdin	قوره‌با كردن‌
qurinĝ	قورْنگ‌
qurp	قورپ‌
qursaq	قورساق‌
qurt	قورت‌
qurtin	قورتن‌
qurting	قورتنگ‌
qurt r̂awêj	قورت‌ راوێژ
qurt r̂awêjî	قورت‌ راوێژی
qurt û lapirtinĝ	قورت ‌و لاپرتنگ‌
quruşqe	قوروشقه‌
qurw	قورو
qurwan	قوروان‌
qurwanî	قوروانی
qurwe	قوروه‌
qurxe	قورخه‌
qurûjya	قوروُژیا
qurûjyag	قوروُژیاگ‌
qurûjyan	قوروُژیان‌
qurûjyaê	قوروُژیاێ
qurûjîn	قوروُژین‌
qur̂at	قوڕات‌
qur̂at dan	قوڕاتدان‌
qur̂ate	قوڕاته‌
qur̂atî	قوڕاتی
